period,timeConstrained,paid,length,pointsPerSecond,percentChangePerSecond,payoffFunction,name,Aa,Ab,Ba,Bb,min,max,counterpartPayoffFunction,name,Aa,Ab,Ba,Bb,min,max,isCounterpart,population,strategySelectionDisplayType,yourPayoff,mode,r,g,b,showShock,otherPayoff,mode,r,g,b,weight,showShock,yourStrategyOverTime,mode,r,g,b,weight,showShock,counterpartStrategyOverTime,mode,r,g,b,weight,showShock,shock,start,end,backfill,showZone,impulse,showHeatmapLegend,heatmapColorLow,heatmapColorMid,heatmapColorHigh
1,TRUE,TRUE,30,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.2,0.3,FALSE,TRUE,0,TRUE,0xff0000,0xffcd00,0x00ff00
2,TRUE,TRUE,30,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
3,TRUE,TRUE,30,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
4,TRUE,TRUE,30,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
5,TRUE,TRUE,30,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
6,TRUE,TRUE,30,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
7,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
8,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
9,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
10,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
11,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
12,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
13,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
14,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
15,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramX,4,0,0,6,0,6,bimatrix,paramXcounterpart,0,6,4,0,0,6,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
16,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
17,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
18,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
19,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
20,TRUE,TRUE,60,FALSE,0.1,bimatrix,paramY,1,0,0,9,0,9,bimatrix,paramYcounterpart,0,9,1,0,0,9,TRUE,paired,HeatmapBoth,line,shaded,100,255,100,TRUE,line,solid,100,150,255,2,TRUE,line,solid,100,255,100,2,FALSE,line,solid,100,150,255,2,TRUE,shockZone,0.25,0.75,FALSE,TRUE,0.5,TRUE,0xff0000,0xffcd00,0x00ff00
