"period","timeConstrained","paid","length","subperiods","percentChangePerSecond","tupleSize","assignedTuples","payoffFunction","name","Aa","Ab","Ba","Bb","min","max","counterpartPayoffFunction","name","Aa","Ab","Ba","Bb","min","max","probPayoffs","strategySelectionDisplayType","mixedStrategySelection","probPayoffs","showHeatmap"
1,"TRUE","FALSE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
2,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
3,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
4,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
5,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
6,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
7,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
8,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
9,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
10,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
11,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
12,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
13,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",14,10,0,9,10,0,18,"bimatrix",14,8,18,9,8,0,18,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
14,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
15,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
16,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
17,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
18,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
19,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
20,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
21,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
22,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
23,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
24,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
25,"TRUE","TRUE",120,50,1,1,"FALSE","bimatrix",15,9,0,6,8,0,13,"bimatrix",15,4,13,7,5,0,13,"TRUE","HeatmapBoth","TRUE","TRUE","FALSE"
